"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.820284750E0,7.424560547E-2,2.275268555E-1,9.801617432E0,9.804539008E0
1.830345750E0,7.334747314E-2,2.189945984E-1,9.795779572E0,9.798501717E0
1.840406750E0,7.529342651E-2,2.182461548E-1,9.793384552E0,9.796105423E0
1.850467750E0,8.023315430E-2,2.171983337E-1,9.789492645E0,9.792230529E0
1.860528750E0,8.173004150E-2,2.236349487E-1,9.795330505E0,9.798223926E0
1.870590750E0,7.514373779E-2,2.236349487E-1,9.794282684E0,9.797123684E0
1.880651750E0,8.098159790E-2,2.302212524E-1,9.808353424E0,9.811389134E0
1.890712750E0,6.840774536E-2,2.237846375E-1,9.809850311E0,9.812640945E0
1.900773750E0,7.274871826E-2,2.210902405E-1,9.795031128E0,9.797796082E0
1.910834750E0,6.840774536E-2,2.248324585E-1,9.795629883E0,9.798448553E0
1.920895750E0,7.634124756E-2,2.273771667E-1,9.803413696E0,9.806347356E0
1.930956750E0,7.349716187E-2,2.252815247E-1,9.803563385E0,9.806426905E0
1.941017750E0,7.259902954E-2,2.225871277E-1,9.793534241E0,9.796332404E0
1.951078750E0,7.005432129E-2,2.188449097E-1,9.790540466E0,9.793236611E0
1.961139750E0,7.828720093E-2,2.288740540E-1,9.798473969E0,9.801459296E0
1.971200750E0,7.364685059E-2,2.207908630E-1,9.799671478E0,9.802435082E0
1.981261750E0,7.738906860E-2,2.258802795E-1,9.796378326E0,9.799287693E0
1.991322750E0,7.619155884E-2,2.209405518E-1,9.792785797E0,9.795574182E0
2.001383750E0,7.080276489E-2,2.309696960E-1,9.794731750E0,9.797710452E0
2.011444750E0,7.783813477E-2,2.317181396E-1,9.802814941E0,9.805862167E0
2.021506750E0,7.978408813E-2,2.236349487E-1,9.793983307E0,9.796861084E0
2.031567750E0,7.229965210E-2,2.282752991E-1,9.793833618E0,9.796760372E0
2.041628750E0,7.244934082E-2,2.287243652E-1,9.790390778E0,9.793330145E0
2.051689750E0,7.274871826E-2,2.318678284E-1,9.796827393E0,9.799840918E0
2.061750750E0,7.394622803E-2,2.249821472E-1,9.805659027E0,9.808518439E0
2.071811750E0,7.708969116E-2,2.282752991E-1,9.787247314E0,9.790212583E0
2.081872750E0,7.649093628E-2,2.276765442E-1,9.796078949E0,9.799022923E0
2.091933750E0,6.990463257E-2,2.231858826E-1,9.798623657E0,9.801414396E0
2.101994750E0,7.095245361E-2,2.288740540E-1,9.790989532E0,9.793921258E0
2.112055750E0,7.095245361E-2,2.294728088E-1,9.796677704E0,9.799621730E0
2.122116750E0,7.768844604E-2,2.243833923E-1,9.797575836E0,9.800452830E0
2.132177750E0,7.469467163E-2,2.327659607E-1,9.789342957E0,9.792394743E0
2.142238750E0,7.185058594E-2,2.237846375E-1,9.800270233E0,9.803088223E0
2.152299750E0,7.813751221E-2,2.296224976E-1,9.795779572E0,9.798782035E0
2.162360750E0,7.679031372E-2,2.252815247E-1,9.794582062E0,9.797473464E0
2.172422750E0,8.262817383E-2,2.240840149E-1,9.795629883E0,9.798541007E0
2.182483750E0,6.990463257E-2,2.236349487E-1,9.800719299E0,9.803519676E0
2.192544750E0,6.721023560E-2,2.230361938E-1,9.797426147E0,9.800194971E0
2.202605750E0,6.990463257E-2,2.300715637E-1,9.796827393E0,9.799777882E0
2.212666750E0,7.559280396E-2,2.326162720E-1,9.802665253E0,9.805716224E0
2.222727750E0,7.723937988E-2,2.197430420E-1,9.799521790E0,9.802289540E0
2.232788750E0,6.960525513E-2,2.335144043E-1,9.799072723E0,9.802101821E0
2.242849750E0,7.619155884E-2,2.186952209E-1,9.796677704E0,9.799414614E0
2.252910750E0,6.870712280E-2,2.266287231E-1,9.795779572E0,9.798641674E0
2.262971750E0,7.529342651E-2,2.285746765E-1,9.798623657E0,9.801578498E0
2.273032750E0,7.379653931E-2,2.236349487E-1,9.803563385E0,9.806391465E0
2.283093750E0,7.589218140E-2,2.242337036E-1,9.791139221E0,9.794000594E0
2.293154750E0,6.571334839E-2,2.296224976E-1,9.798473969E0,9.801384435E0
2.303215750E0,7.484436035E-2,2.276765442E-1,9.793683929E0,9.796615905E0
2.313276750E0,7.424560547E-2,2.269281006E-1,9.791588287E0,9.794498964E0
2.323338750E0,7.619155884E-2,2.258802795E-1,9.796827393E0,9.799727242E0
2.333399750E0,7.798782349E-2,2.191442871E-1,9.792785797E0,9.795547968E0
2.343460750E0,7.334747314E-2,2.192939758E-1,9.798473969E0,9.801202059E0
2.353521750E0,7.649093628E-2,2.269281006E-1,9.796677704E0,9.799604138E0
2.363582750E0,7.439529419E-2,2.261796570E-1,9.802066498E0,9.804957905E0
2.373643750E0,7.679031372E-2,2.240840149E-1,9.790241089E0,9.793106299E0
2.383704750E0,6.721023560E-2,2.210902405E-1,9.790839844E0,9.793566406E0
2.393765750E0,7.274871826E-2,2.291734314E-1,9.791737976E0,9.794689655E0
2.403826750E0,7.948471069E-2,2.188449097E-1,9.794731750E0,9.797498710E0
2.413887750E0,7.214996338E-2,2.215393066E-1,9.804162140E0,9.806930231E0
2.423948750E0,7.454498291E-2,2.251318359E-1,9.807006226E0,9.809873211E0
2.434009750E0,7.095245361E-2,2.315684509E-1,9.788295135E0,9.791291021E0
2.444070750E0,6.676116943E-2,2.278262329E-1,9.783654785E0,9.786534770E0
2.454131750E0,6.526428223E-2,2.213896179E-1,9.795480194E0,9.798199070E0
2.464192750E0,6.990463257E-2,2.224374390E-1,9.799372101E0,9.802145614E0
2.474254750E0,7.155120850E-2,2.216889954E-1,9.796677704E0,9.799446904E0
2.484315750E0,7.379653931E-2,2.261796570E-1,9.793683929E0,9.796573282E0
2.494376750E0,8.247848511E-2,2.297721863E-1,9.797875214E0,9.800916113E0
2.504437750E0,7.140151978E-2,2.285746765E-1,9.798324280E0,9.801250086E0
2.514498750E0,6.915618896E-2,2.300715637E-1,9.800270233E0,9.803214378E0
2.524559750E0,7.170089722E-2,2.242337036E-1,9.801168365E0,9.803995262E0
2.534620750E0,7.080276489E-2,2.243833923E-1,9.801018677E0,9.803842514E0
2.544681750E0,6.840774536E-2,2.195933533E-1,9.799222412E0,9.801921278E0
2.554742750E0,7.559280396E-2,2.207908630E-1,9.789342957E0,9.792124305E0
2.564803750E0,6.930587769E-2,2.222877502E-1,9.798773346E0,9.801539381E0
2.574864750E0,6.900650024E-2,2.297721863E-1,9.795929260E0,9.798866630E0
2.584925125E0,7.544311523E-2,2.233355713E-1,9.801467743E0,9.804302135E0
2.594986125E0,7.409591675E-2,2.185455322E-1,9.794282684E0,9.797000850E0
2.605047125E0,7.244934082E-2,2.237846375E-1,9.792187042E0,9.795011768E0
2.615108125E0,7.274871826E-2,2.251318359E-1,9.790839844E0,9.793698054E0
2.625170125E0,7.065307617E-2,2.302212524E-1,9.804611206E0,9.807568230E0
2.635231125E0,7.918533325E-2,2.294728088E-1,9.802066498E0,9.805071938E0
