"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.854201375E0,1.884580994E-1,1.061293030E-1,9.859846344E0,9.862218301E0
1.864262375E0,1.796264648E-1,1.016386414E-1,9.726922760E0,9.729112111E0
1.874322375E0,1.835183716E-1,1.118174744E-1,9.808503113E0,9.810857019E0
1.884383375E0,1.901046753E-1,1.330732727E-1,9.832752686E0,9.835490514E0
1.894444375E0,1.953437805E-1,1.374142456E-1,9.748328247E0,9.751253534E0
1.904505375E0,1.881587219E-1,1.255888367E-1,9.651030579E0,9.653681551E0
1.914566375E0,2.136058044E-1,1.191522217E-1,9.783056030E0,9.786113119E0
1.924627375E0,2.366578674E-1,1.134640503E-1,9.819131012E0,9.822637877E0
1.934687375E0,2.279759216E-1,9.939331055E-2,9.673034821E0,9.676231430E0
1.944748375E0,2.257305908E-1,7.798782349E-2,9.702224121E0,9.705163023E0
1.954809375E0,2.444416809E-1,8.202941895E-2,9.870623932E0,9.873990954E0
1.964870375E0,2.248324585E-1,7.783813477E-2,9.793534241E0,9.796423905E0
1.974931375E0,2.152523804E-1,6.376739502E-2,9.734257507E0,9.736845952E0
1.984992375E0,2.163002014E-1,7.289840698E-2,9.810149689E0,9.812804740E0
1.995053375E0,2.249821472E-1,7.364685059E-2,9.915829926E0,9.918655349E0
2.005113375E0,2.067201233E-1,6.586303711E-2,9.758058014E0,9.760469628E0
2.015174375E0,1.880090332E-1,6.855743408E-2,9.757309570E0,9.759361535E0
2.025235375E0,1.833686829E-1,7.963439941E-2,9.888586578E0,9.890607172E0
2.035296375E0,1.779798889E-1,9.849517822E-2,9.816735992E0,9.818843297E0
2.045357375E0,1.556762695E-1,1.136137390E-1,9.731563110E0,9.733471311E0
2.055417375E0,1.701960754E-1,1.360670471E-1,9.805209961E0,9.807630872E0
2.065478375E0,1.788780212E-1,1.353186035E-1,9.866582336E0,9.869131445E0
2.075539375E0,1.742376709E-1,1.326242065E-1,9.761500854E0,9.763956518E0
2.085600375E0,1.793270874E-1,1.269360352E-1,9.693542175E0,9.696031707E0
2.095661375E0,2.013313293E-1,1.222956848E-1,9.852062531E0,9.854878317E0
2.105722375E0,2.052232361E-1,1.142124939E-1,9.839189301E0,9.841992032E0
2.115783375E0,2.031275940E-1,1.052311707E-1,9.709708557E0,9.712403136E0
2.125843375E0,2.189945984E-1,1.010398865E-1,9.766440582E0,9.769418066E0
2.135904375E0,2.189945984E-1,1.061293030E-1,9.846973114E0,9.849979775E0
2.145965375E0,2.327659607E-1,1.074765015E-1,9.902058563E0,9.905377074E0
2.156026375E0,2.106120300E-1,1.050814819E-1,9.746981049E0,9.749822517E0
2.166087375E0,2.173480225E-1,1.037342834E-1,9.828561401E0,9.831511592E0
2.176148375E0,2.095642090E-1,9.145980835E-2,9.852960663E0,9.855613420E0
2.186208375E0,2.122586060E-1,7.993377686E-2,9.755363617E0,9.757999919E0
2.196269375E0,2.097138977E-1,8.337661743E-2,9.707463226E0,9.710086193E0
2.206330375E0,2.198927307E-1,8.966354370E-2,9.863738251E0,9.866596406E0
2.216391375E0,2.210902405E-1,8.876541138E-2,9.815837860E0,9.818728690E0
2.226452375E0,2.168989563E-1,7.723937988E-2,9.699529724E0,9.702262002E0
2.236513375E0,2.115101624E-1,8.262817383E-2,9.753118286E0,9.755761388E0
2.246573375E0,2.154020691E-1,8.562194824E-2,9.857002258E0,9.859727313E0
2.256634375E0,1.999841309E-1,9.834548950E-2,9.768236847E0,9.770778709E0
2.266695375E0,1.875599670E-1,9.145980835E-2,9.720186768E0,9.722426366E0
2.276756375E0,1.845661926E-1,1.065783691E-1,9.838141479E0,9.840449756E0
2.286817375E0,1.959425354E-1,1.212478638E-1,9.867630157E0,9.870320129E0
2.296878375E0,1.859133911E-1,1.312770081E-1,9.761351166E0,9.764003995E0
2.306938375E0,2.004331970E-1,1.260379028E-1,9.799072723E0,9.801932731E0
2.316999375E0,2.016307068E-1,1.311273193E-1,9.891580353E0,9.894504090E0
2.327060375E0,1.944456482E-1,1.335223389E-1,9.847272491E0,9.850097098E0
2.337121375E0,1.977388000E-1,1.321751404E-1,9.753267975E0,9.756167644E0
2.347182375E0,2.137554932E-1,1.128652954E-1,9.830207977E0,9.833179489E0
2.357243375E0,2.034269714E-1,1.067280579E-1,9.875413971E0,9.878085569E0
2.367303375E0,2.131567383E-1,9.505233765E-2,9.790690155E0,9.793471522E0
2.377364375E0,2.149530029E-1,8.577163696E-2,9.759554901E0,9.762298573E0
2.387425375E0,2.079176331E-1,8.861572266E-2,9.853409729E0,9.856001511E0
2.397486375E0,2.171983337E-1,8.352630615E-2,9.834848328E0,9.837600998E0
2.407547375E0,2.028282166E-1,7.888595581E-2,9.724378052E0,9.726812981E0
2.417608375E0,1.999841309E-1,6.227050781E-2,9.756112061E0,9.758360201E0
2.427668375E0,2.106120300E-1,6.721023560E-2,9.848470001E0,9.850951020E0
